Term;TermFragment;TermType;TermFrequency;TermRule;TermRepeatRule
СТРОГАЯ ФУНКЦИОНАЛЬНОСТЬ;принципы строгой функциональности;CombTermComponent;1;0;0
ПРИНЦИП ФУНКЦИОНАЛЬНОСТИ;принципы строгой функциональности;CombTermComponent;1;0;0
ИМПЕРАТИВНАЯ ПАРАДИГМА;давлением императивной парадигмы;CombTermComponent;1;0;0
ДАВЛЕНИЕ ПАРАДИГМЫ;давлением императивной парадигмы;CombTermComponent;1;0;0
СИМВОЛЬНЫЙ АТОМ;записи символьных атомов;CombTermComponent;1;0;0
ЗАПИСЬ АТОМОВ;записи символьных атомов;CombTermComponent;1;0;0
БАЗОВЫЙ ЛИСП;атомов базового Лиспа;CombTermComponent;1;0;0
АТОМ ЛИСПА;атомов базового Лиспа;CombTermComponent;1;0;0
СОСТАВНОЙ ТИП;константой составного типа;CombTermComponent;1;0;0
ПУСТОЙ СПИСОК;запись пустого списка;CombTermComponent;1;0;0
ЗАПИСЬ СПИСКА;запись пустого списка;CombTermComponent;1;0;0
ФОРМАЛЬНЫЙ ПАРАМЕТР;имя формального параметра;CombTermComponent;9;0;0
БАЗОВЫЙ НАБОР;функции базового набора;CombTermComponent;49;0;0
ФУНКЦИЯ НАБОРА;функции базового набора;CombTermComponent;49;0;0
ОБЫЧНАЯ ФУНКЦИЯ;аргументов обычных функций;CombTermComponent;1;0;0
АРГУМЕНТ ФУНКЦИЙ;аргументов обычных функций;CombTermComponent;1;0;0
УСЛОВНОЕ ВЫРАЖЕНИЕ;ветвями условного выражения;CombTermComponent;25;0;0
ВЕТВЬ ВЫРАЖЕНИЯ;ветвями условного выражения;CombTermComponent;25;0;0
УСЛОВНОЕ ВЫРАЖЕНИЕ;значением условного выражения;CombTermComponent;16;0;0
ФУНКЦИОНАЛЬНЫЙ ВЫЗОВ;вложенность функциональных вызовов;CombTermComponent;1;0;0
ВЛОЖЕННОСТЬ ВЫЗОВОВ;вложенность функциональных вызовов;CombTermComponent;1;0;0
ВЫЧИСЛИМАЯ ФУНКЦИЯ;описания вычислимых функций;CombTermComponent;1;0;0
ОПИСАНИЕ ФУНКЦИЙ;описания вычислимых функций;CombTermComponent;1;0;0
ОБЫЧНАЯ ФУНКЦИЯ;описания обычной функции;CombTermComponent;1;0;0
ОПИСАНИЕ ФУНКЦИИ;описания обычной функции;CombTermComponent;1;0;0
БЕЗЫМЯННАЯ ФУНКЦИЯ-ДИЗЪЮНКЦИЯ;выше безымянной функции-дизъюнкции;CombTermComponent;1;0;0
ВЫША ФУНКЦИЯ-ДИЗЪЮНКЦИИ;выше безымянной функции-дизъюнкции;CombTermComponent;1;0;0
ФОРМАЛЬНЫЙ ПАРАМЕТР;Связывание формальных параметров;CombTermComponent;25;0;0
ФАКТИЧЕСКИЙ ПАРАМЕТР;передача фактических параметров;CombTermComponent;1;0;0
ПЕРЕДАЧА ПАРАМЕТРОВ;передача фактических параметров;CombTermComponent;1;0;0
РЕКУРСИВНАЯ ФУНКЦИЯ;построения рекурсивной функции;CombTermComponent;4;0;0
ПОСТРОЕНИЕ ФУНКЦИИ;построения рекурсивной функции;CombTermComponent;4;0;0
ЛИСПОВСКИЙ СПИСОК;вычислимости лисповского списка;CombTermComponent;1;0;0
ВЫЧИСЛИМОСТЬ СПИСКА;вычислимости лисповского списка;CombTermComponent;1;0;0
БАЗОВЫЙ НАБОР;выше базового набора;CombTermComponent;1;0;0
ВЫША НАБОРА;выше базового набора;CombTermComponent;1;0;0
БАЗОВЫЙ НАБОР;основе базового набора;CombTermComponent;36;0;0
ВЕРХНИЙ УРОВЕНЬ;элемент верхнего уровня;CombTermComponent;169;0;0
ДЕЛЕНИЕ ЧИСЕЛ;деления целых чисел;CombTermComponent;1;0;0
РЕКУРСИВНАЯ ФУНКЦИЯ;программирование рекурсивных функций;CombTermComponent;1;0;0
ПРОГРАММИРОВАНИЕ ФУНКЦИЙ;программирование рекурсивных функций;CombTermComponent;1;0;0
ПУСТОЙ СПИСОК;длина пустого списка;CombTermComponent;4;0;0
ДЛИНА СПИСКА;длина пустого списка;CombTermComponent;4;0;0
РЕКУРСИВНАЯ ФУНКЦИЯ;Ветви рекурсивной функции;CombTermComponent;1;0;0
ВЕТВЬ ФУНКЦИИ;Ветви рекурсивной функции;CombTermComponent;1;0;0
РЕКУРСИВНЫЙ ВЫЗОВ;выполнения рекурсивных вызовов;CombTermComponent;1;0;0
РЕКУРСИВНЫЙ ВЫЗОВ;процессе рекурсивных вызовов;CombTermComponent;1;0;0
НУЖНЫЙ ПОДСПИСОК;поиска нужного подсписка;CombTermComponent;1;0;0
ПОИСК ПОДСПИСКА;поиска нужного подсписка;CombTermComponent;1;0;0
РЕКУРСИВНАЯ ВЕТВЬ;программировании рекурсивной ветви;CombTermComponent;1;0;0
ПРОГРАММИРОВАНИЕ ВЕТВИ;программировании рекурсивной ветви;CombTermComponent;1;0;0
ЛИСПОВСКИЙ СПИСОК;понятие лисповского списка;CombTermComponent;1;0;0
ПОНЯТИЕ СПИСКА;понятие лисповского списка;CombTermComponent;1;0;0
ВЛОЖЕНИЕ ПАР;вложений точечных пар;CombTermComponent;1;0;0
ВЕРХНИЙ УРОВЕНЬ;списка верхнего уровня;CombTermComponent;1;0;0
СПИСОК УРОВНЯ;списка верхнего уровня;CombTermComponent;1;0;0
ТОЧЕЧНАЯ ЗАПИСЬ;преимущество точечной записи;CombTermComponent;1;0;0
ПРЕИМУЩЕСТВО ЗАПИСИ;преимущество точечной записи;CombTermComponent;1;0;0
СИМВОЛЬНЫЙ АТОМ;таблицу символьных атомов;CombTermComponent;9;0;0
ТАБЛИЦА АТОМОВ;таблицу символьных атомов;CombTermComponent;9;0;0
ФОРМАЛЬНЫЙ ПАРАМЕТР;роли формального параметра;CombTermComponent;1;0;0
РОЛЬ ПАРАМЕТРА;роли формального параметра;CombTermComponent;1;0;0
ВНЕШНЕЕ ИМЯ;исключением внешнего имени;CombTermComponent;1;0;0
ИСКЛЮЧЕНИЕ ИМЕНИ;исключением внешнего имени;CombTermComponent;1;0;0
СИМВОЛЬНЫЙ АТОМ;представлением символьного атома;CombTermComponent;1;0;0
ПРЕДСТАВЛЕНИЕ АТОМА;представлением символьного атома;CombTermComponent;1;0;0
СПИСОЧНАЯ СТРУКТУРА;компьютера списочных структур;CombTermComponent;1;0;0
КОМПЬЮТЕР СТРУКТУР;компьютера списочных структур;CombTermComponent;1;0;0
СПИСОЧНАЯ СТРУКТУРА;указатели списочных структур;CombTermComponent;1;0;0
УКАЗАТЕЛЬ СТРУКТУР;указатели списочных структур;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;число списочных ячеек;CombTermComponent;1;0;0
ЧИСЛО ПАР;числу точечных пар;CombTermComponent;1;0;0
СПИСОЧНАЯ СТРУКТУРА;представление списочных структур;CombTermComponent;1;0;0
ПРЕДСТАВЛЕНИЕ СТРУКТУР;представление списочных структур;CombTermComponent;1;0;0
ТЕРМИН ПРЕДСТАВЛЕНИЯ;терминах внутреннего представления;CombTermComponent;1;0;0
УКАЗАТЕЛЬ ОБЪЕКТОВ;указатели лисповских объектов;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;полей списочной ячейки;CombTermComponent;1;0;0
ПОЛЯ ЯЧЕЙКИ;полей списочной ячейки;CombTermComponent;1;0;0
ПОЛЕ ЯЧЕЙКИ;полей списочной ячейки;CombTermComponent;1;0;0
ПОЛЬ ЯЧЕЙКИ;полей списочной ячейки;CombTermComponent;1;0;0
СПИСОЧНАЯ ЯЧЕЙКА;конфигурация списочных ячеек;CombTermComponent;1;0;0
